date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:20	54406/54406	---M-Z	200	added ('OK')	text/html	etag:%22b8c1855-d486-5e42ba7e2852a-gzip%22	https://codervent.com/rocker/demo/vertical/index.html	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/index.html	(from )
18:23:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202022%2012:53:19%20GMT	https://codervent.com/robots.txt		(from )
18:23:21	2049/2049	---M--	200	added ('OK')	image/png	etag:%22b8c1716-801-5e42bacf6a287%22	https://codervent.com/rocker/demo/vertical/assets/images/favicon-32x32.png	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/images/favicon-32x32.png	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:21	6586/6586	---M-Z	200	added ('OK')	text/css	etag:%22b8c181a-19ba-5e42bca71d3ed-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:21	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%22b8c180d-b94-5e42bee918712-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/simplebar/css/simplebar.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:21	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%22b8c1800-71b-5e42bee6b1730-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:21	1922/1922	---M-Z	200	added ('OK')	text/css	etag:%22b8c17d8-782-5e42bed54578c-gzip%22	https://codervent.com/rocker/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:22	1738/1738	---M-Z	200	added ('OK')	text/css	etag:%22b8c14de-6ca-5e42bac80beba-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/pace.min.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/css/pace.min.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:22	12293/12293	---M-Z	200	added ('OK')	application/javascript	etag:%22b8c176b-3005-5e42bad770da6-gzip%22	https://codervent.com/rocker/demo/vertical/assets/js/pace.min.js	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/js/pace.min.js	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:22	220810/220810	---M-Z	200	added ('OK')	text/css	etag:%22b8c14d8-35e8a-5e42bac3f122a-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/bootstrap.min.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/css/bootstrap.min.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:22	8943/8943	---M-Z	200	added ('OK')	text/css	etag:%22b8c14da-22ef-5e42bac1a2cd1-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/bootstrap-extended.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/css/bootstrap-extended.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:22	43695/43695	---M-Z	200	added ('OK')	text/css	etag:%22b8c14d7-aaaf-5e42bac1c9219-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/app.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/css/app.css	(from https://codervent.com/rocker/demo/vertical/index.html)
18:23:23	135862/135862	---M-Z	200	added ('OK')	text/css	etag:%22b8c14dd-212b6-5e42bac7842d8-gzip%22	https://codervent.com/rocker/demo/vertical/assets/css/icons.css	E:/httrack/php%20b-1%20project/codervent.com/rocker/demo/vertical/assets/css/icons.css	(from https://codervent.com/rocker/demo/vertical/index.html)
